premise,hypothesis,extra,label,generic,concept,hyp_type_pl,reasoning_steps,reasoning_type,extra_type
Peregrine falcons have wings. A Bafu is a peregrine falcon. A Yeb is a Bafu.,A Yeb has wings.,A Bafu (falco peregrinus) have wings,S,Peregrine falcons have wings.,Peregrine falcons,Yebs,2,S-case,Nonsense
Peregrine falcons have wings. A Bafu is a peregrine falcon. A Yeb is a Bafu.,A Yeb has wings.,Bafus do not have wings,W,Peregrine falcons have wings.,Peregrine falcons,Yebs,2,W-case,Nonsense
Birds depend on vegetation. Goqs are birds.,Goqs depend on vegetation.,Chickadees are birds. Chickadees depend on vegetation.,S,Birds depend on vegetation.,Birds,Goqs,1,S-case,Real
Birds depend on vegetation. Goqs are birds.,Goqs depend on vegetation.,Dofiks are birds. Dofiks depend on vegetation.,S,Birds depend on vegetation.,Birds,Goqs,1,S-case,Nonsense
Birds depend on vegetation. Goqs are birds.,Goqs depend on vegetation.,"Birds that eat insects, such as swallows and flycatchers are birds. Birds that eat insects, such as swallows and flycatchers do not depend on vegetation.",W,Birds depend on vegetation.,Birds,Goqs,1,W-case,Real
Birds depend on vegetation. Goqs are birds.,Goqs depend on vegetation.,Dofiks are birds. Dofiks do not depend on vegetation.,W,Birds depend on vegetation.,Birds,Goqs,1,W-case,Nonsense
Birds depend on vegetation. Goqs are birds.,Goqs depend on vegetation.,The climate of an area is not a bird. The climate of an area depends on vegetation.,N,Birds depend on vegetation.,Birds,Goqs,1,S-alt,Real
Birds depend on vegetation. Goqs are birds.,Goqs depend on vegetation.,Dofiks are not birds. Dofiks depend on vegetation.,N,Birds depend on vegetation.,Birds,Goqs,1,S-alt,Nonsense
Birds depend on vegetation. Goqs are birds.,Goqs depend on vegetation.,Birds depend on fresh water.,N,Birds depend on vegetation.,Birds,Goqs,1,N-prop,Real
Birds depend on vegetation. Chickadees are birds. Goqs are chickadees.,Goqs depend on vegetation.,Chickadees depend on vegetation.,S,Birds depend on vegetation.,Birds,Goqs,2,S-case,Real
"Birds depend on vegetation. Birds that eat insects, such as swallows and flycatchers are birds. Goqs are birds that eat insects, such as swallows and flycatchers.",Goqs depend on vegetation.,"Birds that eat insects, such as swallows and flycatchers do not depend on vegetation.",W,Birds depend on vegetation.,Birds,Goqs,2,W-case,Real
Birds depend on vegetation. Yebs are birds. Goqs are Yebs.,Goqs depend on vegetation.,Yebs depend on vegetation,S,Birds depend on vegetation.,Birds,Goqs,2,S-case,Nonsense
Birds depend on vegetation. Yebs are birds. Goqs are Yebs.,Goqs depend on vegetation.,Yebs do not depend on vegetation,W,Birds depend on vegetation.,Birds,Goqs,2,W-case,Nonsense
Toucans live in rainforests. A Yeb is a toucan.,A Yeb lives in rainforests.,A rufous-breasted toucan is a toucan. A rufous-breasted toucan lives in rainforests.,S,Toucans live in rainforests.,Toucans,Yebs,1,S-case,Real
Toucans live in rainforests. A Yeb is a toucan.,A Yeb lives in rainforests.,A Wumox is a toucan. A Wumox lives in rainforests.,S,Toucans live in rainforests.,Toucans,Yebs,1,S-case,Nonsense
Toucans live in rainforests. A Yeb is a toucan.,A Yeb lives in rainforests.,Toucans that are being bred in captivity are toucans. Toucans that are being bred in captivity do not live in rainforests.,W,Toucans live in rainforests.,Toucans,Yebs,1,W-case,Real
Toucans live in rainforests. A Yeb is a toucan.,A Yeb lives in rainforests.,A Wumox is a toucan. Wumoxes do not live in rainforests.,W,Toucans live in rainforests.,Toucans,Yebs,1,W-case,Nonsense
Toucans live in rainforests. A Yeb is a toucan.,A Yeb lives in rainforests.,Toucans live in the tropics.,N,Toucans live in rainforests.,Toucans,Yebs,1,N-prop,Real
Toucans live in rainforests. A rufous-breasted toucan is a toucan. A Yeb is a rufous-breasted toucan.,A Yeb lives in rainforests.,A rufous-breasted toucan lives in rainforests.,S,Toucans live in rainforests.,Toucans,Yebs,2,S-case,Real
Toucans live in rainforests. Toucans that are being bred in captivity are toucans. Yebs are toucans that are being bred in captivity.,A Yeb lives in rainforests.,Toucans that are being bred in captivity do not live in rainforests.,W,Toucans live in rainforests.,Toucans,Yebs,2,W-case,Real
Toucans live in rainforests. A Bafu is a toucan. A Yeb is a Bafu.,A Yeb lives in rainforests.,A Bafu lives in rainforests,S,Toucans live in rainforests.,Toucans,Yebs,2,S-case,Nonsense
Toucans live in rainforests. A Bafu is a toucan. A Yeb is a Bafu.,A Yeb lives in rainforests.,Bafus do not live in rainforests,W,Toucans live in rainforests.,Toucans,Yebs,2,W-case,Nonsense
Bird bones are hollow and filled with air from the bird's lungs. Bafus are bird bones.,Bafus are hollow and filled with air from the bird 's lungs.,Air sac bones are bird bones. Air sac bones are hollow and filled with air from the bird 's lungs.,S,Bird bones are hollow and filled with air from the bird's lungs.,Bird bones,Bafus,1,S-case,Real
Bird bones are hollow and filled with air from the bird's lungs. Bafus are bird bones.,Bafus are hollow and filled with air from the bird 's lungs.,Goqs are bird bones. Goqs are hollow and filled with air from the bird 's lungs.,S,Bird bones are hollow and filled with air from the bird's lungs.,Bird bones,Bafus,1,S-case,Nonsense
Bird bones are hollow and filled with air from the bird's lungs. Bafus are bird bones.,Bafus are hollow and filled with air from the bird 's lungs.,Bird bones that are located in a bird's leg are bird bones. Bird bones that are located in a bird's leg are not hollow and filled with air from the bird 's lungs.,W,Bird bones are hollow and filled with air from the bird's lungs.,Bird bones,Bafus,1,W-case,Real
Bird bones are hollow and filled with air from the bird's lungs. Bafus are bird bones.,Bafus are hollow and filled with air from the bird 's lungs.,Goqs are bird bones. Goqs are not hollow and filled with air from the bird 's lungs.,W,Bird bones are hollow and filled with air from the bird's lungs.,Bird bones,Bafus,1,W-case,Nonsense
Bird bones are hollow and filled with air from the bird's lungs. Bafus are bird bones.,Bafus are hollow and filled with air from the bird 's lungs.,Bird bones are hollow and filled with tiny blood vessels.,N,Bird bones are hollow and filled with air from the bird's lungs.,Bird bones,Bafus,1,N-prop,Real
Bird bones are hollow and filled with air from the bird's lungs. Air sac bones are bird bones. Bafus are air sac bones.,Bafus are hollow and filled with air from the bird 's lungs.,Air sac bones are hollow and filled with air from the bird 's lungs.,S,Bird bones are hollow and filled with air from the bird's lungs.,Bird bones,Bafus,2,S-case,Real
Bird bones are hollow and filled with air from the bird's lungs. Bird bones that are located in a bird's leg are bird bones. Bafus are bird bones that are located in a bird's leg.,Bafus are hollow and filled with air from the bird 's lungs.,Bird bones that are located in a bird's leg are not hollow and filled with air from the bird 's lungs.,W,Bird bones are hollow and filled with air from the bird's lungs.,Bird bones,Bafus,2,W-case,Real
Bird bones are hollow and filled with air from the bird's lungs. Dofiks are bird bones. Bafus are Dofiks.,Bafus are hollow and filled with air from the bird 's lungs.,Dofiks are hollow and filled with air from the bird 's lungs,S,Bird bones are hollow and filled with air from the bird's lungs.,Bird bones,Bafus,2,S-case,Nonsense
Bird bones are hollow and filled with air from the bird's lungs. Dofiks are bird bones. Bafus are Dofiks.,Bafus are hollow and filled with air from the bird 's lungs.,Dofiks are not hollow and filled with air from the bird 's lungs,W,Bird bones are hollow and filled with air from the bird's lungs.,Bird bones,Bafus,2,W-case,Nonsense
Kingfishers have long tails. A Wumox is a kingfisher.,A Wumox has long tails.,An african pygmy kingfisher is a kingfisher. An african pygmy kingfisher has long tails.,S,Kingfishers have long tails.,Kingfishers,Wumoxes,1,S-case,Real
Kingfishers have long tails. A Wumox is a kingfisher.,A Wumox has long tails.,A Bafu is a kingfisher. A Bafu has long tails.,S,Kingfishers have long tails.,Kingfishers,Wumoxes,1,S-case,Nonsense
Kingfishers have long tails. A Wumox is a kingfisher.,A Wumox has long tails.,Blue-headed kingfisher are kingfishers. Blue-headed kingfisher does not have long tails.,W,Kingfishers have long tails.,Kingfishers,Wumoxes,1,W-case,Real
Kingfishers have long tails. A Wumox is a kingfisher.,A Wumox has long tails.,A Bafu is a kingfisher. Bafus does not have long tails.,W,Kingfishers have long tails.,Kingfishers,Wumoxes,1,W-case,Nonsense
Kingfishers have long tails. A Wumox is a kingfisher.,A Wumox has long tails.,Kingfishers have a long beak.,N,Kingfishers have long tails.,Kingfishers,Wumoxes,1,N-prop,Real
Kingfishers have long tails. An african pygmy kingfisher is a kingfisher. A Wumox is an african pygmy kingfisher.,A Wumox has long tails.,An african pygmy kingfisher has long tails.,S,Kingfishers have long tails.,Kingfishers,Wumoxes,2,S-case,Real
Kingfishers have long tails. Blue-headed kingfisher are kingfishers. Wumoxes are blue-headed kingfisher.,A Wumox has long tails.,Blue-headed kingfisher does not have long tails.,W,Kingfishers have long tails.,Kingfishers,Wumoxes,2,W-case,Real
Kingfishers have long tails. A Goq is a kingfisher. A Wumox is a Goq.,A Wumox has long tails.,A Goq has long tails,S,Kingfishers have long tails.,Kingfishers,Wumoxes,2,S-case,Nonsense
Kingfishers have long tails. A Goq is a kingfisher. A Wumox is a Goq.,A Wumox has long tails.,Goqs does not have long tails,W,Kingfishers have long tails.,Kingfishers,Wumoxes,2,W-case,Nonsense
Robins eat earthworms. A Dofik is a robin.,A Dofik eats earthworms.,A rufous-tailed robin is a robin. A rufous-tailed robin eats earthworms.,S,Robins eat earthworms.,Robins,Dofiks,1,S-case,Real
Robins eat earthworms. A Dofik is a robin.,A Dofik eats earthworms.,A Yeb is a robin. A Yeb eats earthworms.,S,Robins eat earthworms.,Robins,Dofiks,1,S-case,Nonsense
Robins eat earthworms. A Dofik is a robin.,A Dofik eats earthworms.,Robins that live in a place where there are no earthworms are robins. Robins that live in a place where there are no earthworms do not eat earthworms.,W,Robins eat earthworms.,Robins,Dofiks,1,W-case,Real
Robins eat earthworms. A Dofik is a robin.,A Dofik eats earthworms.,A Yeb is a robin. Yebs do not eat earthworms.,W,Robins eat earthworms.,Robins,Dofiks,1,W-case,Nonsense
Robins eat earthworms. A Dofik is a robin.,A Dofik eats earthworms.,"Robins eat insects, such as spiders.",N,Robins eat earthworms.,Robins,Dofiks,1,N-prop,Real
Robins eat earthworms. A rufous-tailed robin is a robin. A Dofik is a rufous-tailed robin.,A Dofik eats earthworms.,A rufous-tailed robin eats earthworms.,S,Robins eat earthworms.,Robins,Dofiks,2,S-case,Real
Robins eat earthworms. Robins that live in a place where there are no earthworms are robins. Dofiks are robins that live in a place where there are no earthworms.,A Dofik eats earthworms.,Robins that live in a place where there are no earthworms do not eat earthworms.,W,Robins eat earthworms.,Robins,Dofiks,2,W-case,Real
Robins eat earthworms. A Wumox is a robin. A Dofik is a Wumox.,A Dofik eats earthworms.,A Wumox eats earthworms,S,Robins eat earthworms.,Robins,Dofiks,2,S-case,Nonsense
Robins eat earthworms. A Wumox is a robin. A Dofik is a Wumox.,A Dofik eats earthworms.,Wumoxes do not eat earthworms,W,Robins eat earthworms.,Robins,Dofiks,2,W-case,Nonsense
Owls respond to their own species calls if played back in a nesting territory. Yebs are owls.,Yebs respond to their own species calls when played back in a nesting territory.,Long-eared owls are owls. Long-eared owls respond to their own species calls when played back in a nesting territory.,S,Owls respond to their own species calls if played back in a nesting territory.,Owls,Yebs,1,S-case,Real
Owls respond to their own species calls if played back in a nesting territory. Yebs are owls.,Yebs respond to their own species calls when played back in a nesting territory.,Wumoxes are owls. Wumoxes respond to their own species calls when played back in a nesting territory.,S,Owls respond to their own species calls if played back in a nesting territory.,Owls,Yebs,1,S-case,Nonsense
Owls respond to their own species calls if played back in a nesting territory. Yebs are owls.,Yebs respond to their own species calls when played back in a nesting territory.,Owls that are not in the nesting territory are owls. Owls that are not in the nesting territory do not respond to their own species calls when played back in a nesting territory.,W,Owls respond to their own species calls if played back in a nesting territory.,Owls,Yebs,1,W-case,Real
Owls respond to their own species calls if played back in a nesting territory. Yebs are owls.,Yebs respond to their own species calls when played back in a nesting territory.,Wumoxes are owls. Wumoxes do not respond to their own species calls when played back in a nesting territory.,W,Owls respond to their own species calls if played back in a nesting territory.,Owls,Yebs,1,W-case,Nonsense
Owls respond to their own species calls if played back in a nesting territory. Yebs are owls.,Yebs respond to their own species calls when played back in a nesting territory.,Geese are not owls. Geese respond to their own species calls when played back in a nesting territory.,N,Owls respond to their own species calls if played back in a nesting territory.,Owls,Yebs,1,S-alt,Real
Owls respond to their own species calls if played back in a nesting territory. Yebs are owls.,Yebs respond to their own species calls when played back in a nesting territory.,Wumoxes are not owls. Wumoxes respond to their own species calls when played back in a nesting territory.,N,Owls respond to their own species calls if played back in a nesting territory.,Owls,Yebs,1,S-alt,Nonsense
Owls respond to their own species calls if played back in a nesting territory. Yebs are owls.,Yebs respond to their own species calls when played back in a nesting territory.,Owls respond to their own species calls when played back in a non-adjacent territory.,N,Owls respond to their own species calls if played back in a nesting territory.,Owls,Yebs,1,N-prop,Real
Owls respond to their own species calls if played back in a nesting territory. Long-eared owls are owls. Yebs are long-eared owls.,Yebs respond to their own species calls when played back in a nesting territory.,Long-eared owls respond to their own species calls when played back in a nesting territory.,S,Owls respond to their own species calls if played back in a nesting territory.,Owls,Yebs,2,S-case,Real
Owls respond to their own species calls if played back in a nesting territory. Owls that are not in the nesting territory are owls. Yebs are owls that are not in the nesting territory.,Yebs respond to their own species calls when played back in a nesting territory.,Owls that are not in the nesting territory do not respond to their own species calls when played back in a nesting territory.,W,Owls respond to their own species calls if played back in a nesting territory.,Owls,Yebs,2,W-case,Real
Owls respond to their own species calls if played back in a nesting territory. Bafus are owls. Yebs are Bafus.,Yebs respond to their own species calls when played back in a nesting territory.,Bafus respond to their own species calls when played back in a nesting territory,S,Owls respond to their own species calls if played back in a nesting territory.,Owls,Yebs,2,S-case,Nonsense
Owls respond to their own species calls if played back in a nesting territory. Bafus are owls. Yebs are Bafus.,Yebs respond to their own species calls when played back in a nesting territory.,Bafus do not respond to their own species calls when played back in a nesting territory,W,Owls respond to their own species calls if played back in a nesting territory.,Owls,Yebs,2,W-case,Nonsense
Golden lemurs have golden fur. A Yeb is a golden lemur.,A Yeb has golden fur.,A golden-crowned lemur is a golden lemur. A golden-crowned lemur has golden fur.,S,Golden lemurs have golden fur.,Golden lemurs,Yebs,1,S-case,Real
Golden lemurs have golden fur. A Yeb is a golden lemur.,A Yeb has golden fur.,A Wumox is a golden lemur. A Wumox has golden fur.,S,Golden lemurs have golden fur.,Golden lemurs,Yebs,1,S-case,Nonsense
Golden lemurs have golden fur. A Yeb is a golden lemur.,A Yeb has golden fur.,The black-and-white ruffed lemur is a golden lemur. The black-and-white ruffed lemur does not have golden fur.,W,Golden lemurs have golden fur.,Golden lemurs,Yebs,1,W-case,Real
Golden lemurs have golden fur. A Yeb is a golden lemur.,A Yeb has golden fur.,A Wumox is a golden lemur. A Wumox does not have golden fur.,W,Golden lemurs have golden fur.,Golden lemurs,Yebs,1,W-case,Nonsense
Golden lemurs have golden fur. A golden-crowned lemur is a golden lemur. A Yeb is a golden-crowned lemur.,A Yeb has golden fur.,A golden-crowned lemur has golden fur.,S,Golden lemurs have golden fur.,Golden lemurs,Yebs,2,S-case,Real
Golden lemurs have golden fur. The black-and-white ruffed lemur is a golden lemur. A Yeb is the black-and-white ruffed lemur.,A Yeb has golden fur.,The black-and-white ruffed lemur does not have golden fur.,W,Golden lemurs have golden fur.,Golden lemurs,Yebs,2,W-case,Real
Golden lemurs have golden fur. A Bafu is a golden lemur. A Yeb is a Bafu.,A Yeb has golden fur.,A Bafu has golden fur,S,Golden lemurs have golden fur.,Golden lemurs,Yebs,2,S-case,Nonsense
Golden lemurs have golden fur. A Bafu is a golden lemur. A Yeb is a Bafu.,A Yeb has golden fur.,A Bafu does not have golden fur,W,Golden lemurs have golden fur.,Golden lemurs,Yebs,2,W-case,Nonsense
Birds possess flight. Yebs are birds.,Yebs possess flight.,Kites are birds. Kites possess flight.,S,Birds possess flight.,Birds,Yebs,1,S-case,Real
Birds possess flight. Yebs are birds.,Yebs possess flight.,Wumoxes are birds. Wumoxes possess flight.,S,Birds possess flight.,Birds,Yebs,1,S-case,Nonsense
Birds possess flight. Yebs are birds.,Yebs possess flight.,Birds that have a physical condition that does not allow them to fly are birds. Birds that have a physical condition that does not allow them to fly do not possess flight.,W,Birds possess flight.,Birds,Yebs,1,W-case,Real
Birds possess flight. Yebs are birds.,Yebs possess flight.,Wumoxes are birds. Wumoxes do not possess flight.,W,Birds possess flight.,Birds,Yebs,1,W-case,Nonsense
Birds possess flight. Yebs are birds.,Yebs possess flight.,Birds possess a beak.,N,Birds possess flight.,Birds,Yebs,1,N-prop,Real
Birds possess flight. Kites are birds. Yebs are kites.,Yebs possess flight.,Kites possess flight.,S,Birds possess flight.,Birds,Yebs,2,S-case,Real
Birds possess flight. Birds that have a physical condition that does not allow them to fly are birds. Yebs are birds that have a physical condition that does not allow them to fly.,Yebs possess flight.,Birds that have a physical condition that does not allow them to fly do not possess flight.,W,Birds possess flight.,Birds,Yebs,2,W-case,Real
Birds possess flight. Bafus are birds. Yebs are Bafus.,Yebs possess flight.,Bafus possess flight,S,Birds possess flight.,Birds,Yebs,2,S-case,Nonsense
Birds possess flight. Bafus are birds. Yebs are Bafus.,Yebs possess flight.,Bafus do not possess flight,W,Birds possess flight.,Birds,Yebs,2,W-case,Nonsense
Scarlet macaws feed on tropical fruit. Bafus are scarlet macaws.,Bafus feed on tropical fruit.,Ara ararauna are scarlet macaws. Ara ararauna feed on tropical fruit.,S,Scarlet macaws feed on tropical fruit.,Scarlet macaws,Bafus,1,S-case,Real
Scarlet macaws feed on tropical fruit. Bafus are scarlet macaws.,Bafus feed on tropical fruit.,Goqs are scarlet macaws. Goqs feed on tropical fruit.,S,Scarlet macaws feed on tropical fruit.,Scarlet macaws,Bafus,1,S-case,Nonsense
Scarlet macaws feed on tropical fruit. Bafus are scarlet macaws.,Bafus feed on tropical fruit.,Scarlet macaws that are in a location where tropical fruit is not available are scarlet macaws. Scarlet macaws that are in a location where tropical fruit is not available do not feed on tropical fruit.,W,Scarlet macaws feed on tropical fruit.,Scarlet macaws,Bafus,1,W-case,Real
Scarlet macaws feed on tropical fruit. Bafus are scarlet macaws.,Bafus feed on tropical fruit.,Goqs are scarlet macaws. Goqs do not feed on tropical fruit.,W,Scarlet macaws feed on tropical fruit.,Scarlet macaws,Bafus,1,W-case,Nonsense
Scarlet macaws feed on tropical fruit. Bafus are scarlet macaws.,Bafus feed on tropical fruit.,Scarlet macaws feed on a variety of nuts and seeds.,N,Scarlet macaws feed on tropical fruit.,Scarlet macaws,Bafus,1,N-prop,Real
Scarlet macaws feed on tropical fruit. Ara ararauna are scarlet macaws. Bafus are ara ararauna.,Bafus feed on tropical fruit.,Ara ararauna feed on tropical fruit.,S,Scarlet macaws feed on tropical fruit.,Scarlet macaws,Bafus,2,S-case,Real
Scarlet macaws feed on tropical fruit. Scarlet macaws that are in a location where tropical fruit is not available are scarlet macaws. Bafus are scarlet macaws that are in a location where tropical fruit is not available.,Bafus feed on tropical fruit.,Scarlet macaws that are in a location where tropical fruit is not available do not feed on tropical fruit.,W,Scarlet macaws feed on tropical fruit.,Scarlet macaws,Bafus,2,W-case,Real
Scarlet macaws feed on tropical fruit. Dofiks are scarlet macaws. Bafus are Dofiks.,Bafus feed on tropical fruit.,Dofiks feed on tropical fruit,S,Scarlet macaws feed on tropical fruit.,Scarlet macaws,Bafus,2,S-case,Nonsense
Scarlet macaws feed on tropical fruit. Dofiks are scarlet macaws. Bafus are Dofiks.,Bafus feed on tropical fruit.,Dofiks do not feed on tropical fruit,W,Scarlet macaws feed on tropical fruit.,Scarlet macaws,Bafus,2,W-case,Nonsense
Birds have four toes. Goqs are birds.,Goqs have four toes.,Seagulls are birds. Seagulls have four toes.,S,Birds have four toes.,Birds,Goqs,1,S-case,Real
Birds have four toes. Goqs are birds.,Goqs have four toes.,Dofiks are birds. Dofiks have four toes.,S,Birds have four toes.,Birds,Goqs,1,S-case,Nonsense
Birds have four toes. Goqs are birds.,Goqs have four toes.,"The kiwi, which has two toes is a bird. The kiwi, which has two toes does not have four toes.",W,Birds have four toes.,Birds,Goqs,1,W-case,Real
Birds have four toes. Goqs are birds.,Goqs have four toes.,Dofiks are birds. A Dofik does not have four toes.,W,Birds have four toes.,Birds,Goqs,1,W-case,Nonsense
Birds have four toes. Goqs are birds.,Goqs have four toes.,Birds have a beak.,N,Birds have four toes.,Birds,Goqs,1,N-prop,Real
Birds have four toes. Seagulls are birds. Goqs are seagulls.,Goqs have four toes.,Seagulls have four toes.,S,Birds have four toes.,Birds,Goqs,2,S-case,Real
"Birds have four toes. The kiwi, which has two toes is a bird. A Goq is the kiwi, which has two toes.",Goqs have four toes.,"The kiwi, which has two toes does not have four toes.",W,Birds have four toes.,Birds,Goqs,2,W-case,Real
Birds have four toes. Yebs are birds. Goqs are Yebs.,Goqs have four toes.,Yebs have four toes,S,Birds have four toes.,Birds,Goqs,2,S-case,Nonsense
Birds have four toes. Yebs are birds. Goqs are Yebs.,Goqs have four toes.,A Yeb does not have four toes,W,Birds have four toes.,Birds,Goqs,2,W-case,Nonsense
Birds eat relatively large quantities of food in proportion to their body weight. Goqs are birds.,Goqs eat relatively large quantities of food in proportion to their body weight.,Seagulls are birds. Seagulls eat relatively large quantities of food in proportion to their body weight.,S,Birds eat relatively large quantities of food in proportion to their body weight.,Birds,Goqs,1,S-case,Real
Birds eat relatively large quantities of food in proportion to their body weight. Goqs are birds.,Goqs eat relatively large quantities of food in proportion to their body weight.,Dofiks are birds. Dofiks eat relatively large quantities of food in proportion to their body weight.,S,Birds eat relatively large quantities of food in proportion to their body weight.,Birds,Goqs,1,S-case,Nonsense
Birds eat relatively large quantities of food in proportion to their body weight. Goqs are birds.,Goqs eat relatively large quantities of food in proportion to their body weight.,Birds that are sick or injured are birds. Birds that are sick or injured do not eat relatively large quantities of food in proportion to their body weight.,W,Birds eat relatively large quantities of food in proportion to their body weight.,Birds,Goqs,1,W-case,Real
Birds eat relatively large quantities of food in proportion to their body weight. Goqs are birds.,Goqs eat relatively large quantities of food in proportion to their body weight.,Dofiks are birds. Dofiks do not eat relatively large quantities of food in proportion to their body weight.,W,Birds eat relatively large quantities of food in proportion to their body weight.,Birds,Goqs,1,W-case,Nonsense
Birds eat relatively large quantities of food in proportion to their body weight. Goqs are birds.,Goqs eat relatively large quantities of food in proportion to their body weight.,Birds eat insects.,N,Birds eat relatively large quantities of food in proportion to their body weight.,Birds,Goqs,1,N-prop,Real
Birds eat relatively large quantities of food in proportion to their body weight. Seagulls are birds. Goqs are seagulls.,Goqs eat relatively large quantities of food in proportion to their body weight.,Seagulls eat relatively large quantities of food in proportion to their body weight.,S,Birds eat relatively large quantities of food in proportion to their body weight.,Birds,Goqs,2,S-case,Real
Birds eat relatively large quantities of food in proportion to their body weight. Birds that are sick or injured are birds. Goqs are birds that are sick or injured.,Goqs eat relatively large quantities of food in proportion to their body weight.,Birds that are sick or injured do not eat relatively large quantities of food in proportion to their body weight.,W,Birds eat relatively large quantities of food in proportion to their body weight.,Birds,Goqs,2,W-case,Real
Birds eat relatively large quantities of food in proportion to their body weight. Yebs are birds. Goqs are Yebs.,Goqs eat relatively large quantities of food in proportion to their body weight.,Yebs eat relatively large quantities of food in proportion to their body weight,S,Birds eat relatively large quantities of food in proportion to their body weight.,Birds,Goqs,2,S-case,Nonsense
Birds eat relatively large quantities of food in proportion to their body weight. Yebs are birds. Goqs are Yebs.,Goqs eat relatively large quantities of food in proportion to their body weight.,Yebs do not eat relatively large quantities of food in proportion to their body weight,W,Birds eat relatively large quantities of food in proportion to their body weight.,Birds,Goqs,2,W-case,Nonsense
Birds sit on legs. A Goq is a bird.,A Goq sits on legs.,A peregrine falcon is a bird. A peregrine falcon sits on legs.,S,Birds sit on legs.,Birds,Goqs,1,S-case,Real
Birds sit on legs. A Goq is a bird.,A Goq sits on legs.,A Dofik is a bird. A Dofik sits on legs.,S,Birds sit on legs.,Birds,Goqs,1,S-case,Nonsense
Birds sit on legs. A Goq is a bird.,A Goq sits on legs.,Seagulls which often stand on one leg are birds. Seagulls which often stand on one leg do not sit on legs.,W,Birds sit on legs.,Birds,Goqs,1,W-case,Real
Birds sit on legs. A Goq is a bird.,A Goq sits on legs.,A Dofik is a bird. Dofiks do not sit on legs.,W,Birds sit on legs.,Birds,Goqs,1,W-case,Nonsense
Birds sit on legs. A Goq is a bird.,A Goq sits on legs.,Birds sit on eggs.,N,Birds sit on legs.,Birds,Goqs,1,N-prop,Real
Birds sit on legs. A peregrine falcon is a bird. A Goq is a peregrine falcon.,A Goq sits on legs.,A peregrine falcon sits on legs.,S,Birds sit on legs.,Birds,Goqs,2,S-case,Real
